date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:19	246714/246714	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2015:38:11%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/index	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/index.html	(from )
16:15:19	165/165	---M-Z	200	added ('OK')	text/plain	date:Fri,%2027%20Apr%202018%2015:45:56%20GMT	https://www.hdi.de/robots.txt		(from )
16:15:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2028%20Apr%202018%2014:15:20%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/HDI/www.googletagmanager.com/gtm.15445.delayed	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:20	313/313	---M-Z	200	added ('OK')	text/css	etag:%22e1b71-139-560c692b9e240%22	https://www.hdi.de/assets/static/fix.css	C:/My%20Web%20Sites/HDI/www.hdi.de/assets/static/fix.css	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:21	3147/3147	---M-Z	200	added ('OK')	application/javascript	etag:%22e5e5d-c4b-566e687002c40%22	https://www.hdi.de/assets/static/idd.js	C:/My%20Web%20Sites/HDI/www.hdi.de/assets/static/idd.js	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:21	134997/134997	---M-Z	200	added ('OK')	text/css	etag:W/%22134997-1521543214000%22	https://www.hdi.de/static/shared/css/external.min.css?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/css/external.mined9b.css	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:22	610989/610989	---M-Z	200	added ('OK')	text/css	etag:W/%22610989-1521543214000%22	https://www.hdi.de/static/shared/css/styles-bundle.css?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/css/styles-bundleed9b.css	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:22	3219/3219	---M-Z	200	added ('OK')	text/css	etag:W/%223219-1521543214000%22	https://www.hdi.de/static/shared/css/forms-bundle.css?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/css/forms-bundleed9b.css	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:22	6043/6043	---M--	200	added ('OK')	image/png	etag:W/%226043-1521543214000%22	https://www.hdi.de/static/shared/img/hdi-logo_105x65.png?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/img/hdi-logo_105x65ed9b.png	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:22	237150/237150	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2015:28:18%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/kraftfahrt-produktanfrage	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/kraftfahrt-produktanfrage.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:23	224872/224872	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2019:05:36%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/kfz-glasschaden	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/kfz-glasschaden.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:24	237899/237899	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2015:41:01%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/kfz-schadenmeldung-hagel	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/kfz-schadenmeldung-hagel.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:24	259109/259109	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2015:31:56%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/privathaftpflicht	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/privathaftpflicht.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
